Mes,País,Valor
2021-01-01,México,41.23
2021-02-01,México,41.97
2021-03-01,México,43.22
2021-04-01,México,45.28
2021-05-01,México,47.48
2021-06-01,México,49.55
2021-07-01,México,50.99
2021-08-01,México,51.35
2021-09-01,México,51.46
2021-10-01,México,51.81
2021-11-01,México,53.05
2021-12-01,México,54.33
2022-01-01,México,53.98
2022-02-01,México,53.39
2022-03-01,México,52.54
2022-04-01,México,53.38
2022-05-01,México,53.52
2022-06-01,México,52.67
2022-07-01,México,51.03
2022-08-01,México,49.02
2022-09-01,México,47.34
2022-10-01,México,46.53
2022-11-01,México,46.35
2022-12-01,México,46.2
2023-01-01,México,45.34
2023-02-01,México,46.24
2023-03-01,México,48.83
2023-04-01,México,51.87
2023-05-01,México,54.07
2023-06-01,México,54.74
2023-07-01,México,55.74
2023-08-01,México,56
2023-09-01,México,56.5
2023-10-01,México,56.1
2023-11-01,México,55.93
2020-01-01,Perú,51.13
2020-02-01,Perú,50.63
2020-03-01,Perú,40.97
2020-04-01,Perú,26.38
2020-05-01,Perú,15.1
2020-06-01,Perú,17.42
2020-07-01,Perú,25.97
2020-08-01,Perú,33.9
2020-09-01,Perú,39.83
2020-10-01,Perú,44.95
2020-11-01,Perú,49.85
2020-12-01,Perú,50.82
2021-01-01,Perú,47.83
2021-02-01,Perú,44.96
2021-03-01,Perú,45.53
2021-04-01,Perú,45.04
2021-05-01,Perú,45.25
2021-06-01,Perú,41.34
2021-07-01,Perú,42.42
2021-08-01,Perú,38.66
2021-09-01,Perú,37.17
2021-10-01,Perú,37.03
2021-11-01,Perú,39.21
2021-12-01,Perú,41.28
2022-01-01,Perú,41.94
2022-02-01,Perú,43.41
2022-03-01,Perú,42.66
2022-04-01,Perú,39.47
2022-05-01,Perú,36.65
2022-06-01,Perú,35.03
2022-07-01,Perú,34.82
2022-08-01,Perú,34.65
2022-09-01,Perú,35.46
2022-10-01,Perú,35.94
2022-11-01,Perú,36.73
2022-12-01,Perú,38.68
2023-01-01,Perú,37.39
2023-02-01,Perú,38.58
2023-03-01,Perú,38.76
2023-04-01,Perú,42.78
2023-05-01,Perú,43.95
2023-06-01,Perú,43.9
2023-07-01,Perú,44.09
2023-08-01,Perú,43.78
2023-09-01,Perú,42.99
2023-10-01,Perú,41.06
2023-11-01,Perú,38.9
